id,x,y,weight,source_blob
D0000,-0.0754100434020456,-1.406182713085305,1.0,0
D0001,8.826363803687208,11.703397689622639,6.0,3
D0002,8.970061934980775,9.122571537236288,6.0,3
D0003,1.4695308226570514,12.324053735392326,4.0,2
D0004,-0.9372533030602734,9.705400834569575,7.0,2
D0005,5.273244440752408,6.382958115524474,5.0,4
D0006,-0.78948566274259,-0.1962222767536878,5.0,0
D0007,10.621870060849396,10.347812859573295,5.0,3
D0008,9.699075143015921,-0.10705837161283292,9.0,1
D0009,-1.0999166466959855,-0.1905389951797322,7.0,0
D0010,-0.2131099920071641,10.185735911701006,4.0,2
D0011,4.555738224944787,5.377230818036111,10.0,4
D0012,10.810172654255863,10.124343462134773,9.0,3
D0013,10.281405126719363,10.042524278062293,10.0,3
D0014,10.000067514473132,9.422753573165721,8.0,3
D0015,10.253195409338646,9.92217072126921,4.0,3
D0016,1.674534647144476,11.258683921980193,8.0,2
D0017,0.30867724204520064,-0.610445767755814,4.0,0
D0018,4.110070822413266,5.952914362471092,3.0,4
D0019,0.2101993801177108,10.384114722713289,5.0,2
D0020,-1.3956687895793543,10.741950785246544,10.0,2
D0021,10.36353627057149,-0.8883445475315824,6.0,1
D0022,-0.37721984595995917,0.21097376348521568,4.0,0
D0023,5.041973438684995,4.766263051357156,5.0,4
D0024,9.917209385547231,9.798418097434492,3.0,3
D0025,10.122050009681974,11.177193578394526,7.0,3
D0026,-2.053326752745038,9.810519788392252,4.0,2
D0027,5.141209937097957,5.23679519174968,6.0,4
D0028,-0.2975316650570319,8.594622574017134,4.0,2
D0029,0.2623963869712877,11.381880171331348,4.0,2
D0030,-1.2270891239329103,10.691062410958551,10.0,2
D0031,9.737179821501686,-0.04905947666307784,4.0,1
D0032,-0.8423188085631592,-0.2675649378847013,1.0,0
D0033,1.0400356757591669,10.466124193590165,4.0,2
D0034,6.385849284327955,5.941929511182155,6.0,4
D0035,0.351269343143661,1.3951476209342337,1.0,0
D0036,5.351194526990639,5.662390541437647,4.0,4
D0037,4.762743237172233,5.053236652687364,2.0,4
D0038,9.44206094135978,0.7916671476758825,6.0,1
D0039,9.057357101508108,10.62588027393413,8.0,3
D0040,-0.15252084600412757,0.9369976747738555,10.0,0
D0041,10.600695190985007,11.456516926117441,4.0,3
D0042,10.584619752910916,8.742367795477406,9.0,3
D0043,9.94643746168144,-0.9376057540758528,3.0,1
D0044,-0.41462387389301975,1.2089827466213774,8.0,0
D0045,5.510027048718157,4.440855657137003,6.0,4
D0046,-0.8109738931523192,10.026225674301008,8.0,2
D0047,4.026751880495098,4.463087778082735,8.0,4
D0048,10.249607577240996,10.924249628885358,6.0,3
D0049,10.487009177779552,8.16696839312152,3.0,3
D0050,10.243493383224207,10.057626858586062,6.0,3
D0051,0.33111222829815445,1.2929677453209658,9.0,0
D0052,8.349409378556206,-0.4728827401528845,10.0,1
D0053,0.47272505823468375,8.734724480436846,10.0,2
D0054,1.1807592384428072,10.294685290160526,2.0,2
D0055,0.6772671886747232,-0.45675492921743566,6.0,0
D0056,0.6510109519729684,10.854777244791231,2.0,2
D0057,0.1863024161097347,0.18752071415895677,7.0,0
D0058,10.21627459142538,9.309323788208495,10.0,3
D0059,9.881977055807718,9.877981974038113,1.0,3
D0060,5.306715091482796,5.799859397528236,7.0,4
D0061,9.153171134417272,9.899992775744337,10.0,3
D0062,11.18516443812718,-0.5948705830500514,9.0,1
D0063,4.342199986167744,5.161844953464955,4.0,4
D0064,0.6755081523882561,10.009140844448527,2.0,2
D0065,11.063168472349592,0.6854351860532215,10.0,1
D0066,5.67345605351205,5.443293201059275,10.0,4
D0067,11.862122480276868,-0.16412935109283536,6.0,1
D0068,-1.6028178336532113,1.283403489213713,10.0,0
D0069,-0.36615954476546053,10.086304355474427,1.0,2
D0070,11.047640547888422,8.71819236715286,7.0,3
D0071,-1.0013177712849115,-1.281022349695083,1.0,0
D0072,-0.6353090320203392,10.351709284813595,10.0,2
D0073,0.4193502742502168,0.22101934346284302,7.0,0
D0074,8.869787292886107,8.151917250693884,10.0,3
D0075,0.043482868312305814,9.622579173089331,6.0,2
D0076,10.36750861737329,0.5615629009770161,1.0,1
D0077,10.110593145646945,0.608106468300683,1.0,1
D0078,0.18336909929205475,10.424051764481174,4.0,2
D0079,9.436261389704095,9.856310868934834,8.0,3
D0080,5.157420877325566,5.656422780333935,2.0,4
D0081,-0.3149929377796577,10.41693380458569,9.0,2
D0082,-0.2126710335323032,-0.0940337338625043,3.0,0
D0083,5.663615233619258,3.405551703156675,5.0,4
D0084,8.962822137540192,8.814251682045743,3.0,3
D0085,8.133107104121356,9.457388447875859,5.0,3
D0086,0.5995471197821923,-0.2279072531060598,5.0,0
D0087,10.158232065553483,0.8713739973686341,1.0,1
D0088,11.062148905814153,9.944689652219088,6.0,3
D0089,6.082868711655518,5.073701326747288,8.0,4
D0090,-0.6699185790619697,9.524479718241011,10.0,2
D0091,3.815570789947987,4.289492917013078,4.0,4
D0092,4.713586649540456,5.642868015502882,9.0,4
D0093,11.376615864932788,-1.105745212301632,9.0,1
D0094,5.314261974607935,4.1675648486739725,10.0,4
D0095,10.379757670770562,-0.10486932055018128,4.0,1
D0096,8.535275339321975,0.7426375932547875,9.0,1
D0097,9.515999429753014,9.572879809301156,6.0,3
D0098,9.144198070968248,9.476573378649956,1.0,3
D0099,0.3423123525559338,-0.15139547274912443,3.0,0
D0100,5.262929601825985,5.289537483143075,7.0,4
D0101,1.0565293244225336,-0.27422892069150345,2.0,0
D0102,3.8185137465234145,5.853777933257587,5.0,4
D0103,-0.26519053767780376,0.8916739556619016,8.0,0
D0104,10.306701690545976,9.895089975837324,2.0,3
D0105,10.279020715237037,11.56081004810104,5.0,3
D0106,11.661584423243003,10.055504908106222,3.0,3
D0107,10.12815247465366,10.860992125973109,6.0,3
D0108,-0.6765288262138778,10.266456298094605,3.0,2
D0109,9.979309721636914,10.251126569166043,10.0,3
D0110,9.333304955240475,-1.2716539946471752,1.0,1
D0111,8.341613251206967,9.106092709608314,10.0,3
D0112,-0.3669402279514664,9.76544673068099,8.0,2
D0113,1.5497849299436135,10.884794695925839,9.0,2
D0114,-0.7696728930733019,10.278166761960765,9.0,2
D0115,-0.3256625890802601,9.772508929567923,2.0,2
D0116,0.14826051953230562,0.49533689358031463,10.0,0
D0117,-0.2714067871072123,0.8510812261874868,6.0,0
D0118,9.086449419086076,0.005071249889814754,10.0,1
