id,x,y,weight,source_blob,cluster_before,cluster_after,is_new_cluster
D0000,-0.0754100434020456,-1.406182713085305,1.0,0,0,0,False
D0001,8.826363803687208,11.70339768962264,6.0,3,2,3,True
D0002,8.970061934980775,9.122571537236288,6.0,3,1,3,True
D0003,1.4695308226570514,12.324053735392326,4.0,2,2,2,False
D0004,-0.9372533030602734,9.705400834569575,7.0,2,2,2,False
D0005,5.273244440752408,6.382958115524474,5.0,4,2,4,True
D0006,-0.78948566274259,-0.1962222767536878,5.0,0,0,0,False
D0007,10.621870060849396,10.347812859573295,5.0,3,1,3,True
D0008,9.69907514301592,-0.1070583716128329,9.0,1,1,1,False
D0009,-1.0999166466959855,-0.1905389951797322,7.0,0,0,0,False
D0010,-0.2131099920071641,10.185735911701006,4.0,2,2,2,False
D0011,4.555738224944787,5.377230818036111,10.0,4,2,4,True
D0012,10.810172654255863,10.124343462134773,9.0,3,1,3,True
D0013,10.281405126719363,10.042524278062292,10.0,3,1,3,True
D0014,10.000067514473132,9.42275357316572,8.0,3,1,3,True
D0015,10.253195409338646,9.92217072126921,4.0,3,1,3,True
D0016,1.674534647144476,11.258683921980191,8.0,2,2,2,False
D0017,0.3086772420452006,-0.610445767755814,4.0,0,0,0,False
D0018,4.110070822413266,5.952914362471092,3.0,4,2,4,True
D0019,0.2101993801177108,10.384114722713289,5.0,2,2,2,False
D0020,-1.3956687895793545,10.741950785246544,10.0,2,2,2,False
D0021,10.36353627057149,-0.8883445475315824,6.0,1,1,1,False
D0022,-0.3772198459599591,0.2109737634852156,4.0,0,0,0,False
D0023,5.041973438684995,4.766263051357156,5.0,4,1,4,True
D0024,9.917209385547231,9.798418097434492,3.0,3,1,3,True
D0025,10.122050009681974,11.177193578394526,7.0,3,2,3,True
D0026,-2.053326752745038,9.810519788392252,4.0,2,2,2,False
D0027,5.141209937097957,5.23679519174968,6.0,4,1,4,True
D0028,-0.2975316650570319,8.594622574017134,4.0,2,2,2,False
